run_id,model,text_cfg,audio_cfg,video_cfg,d_model,num_experts,tfe_dim,afe_dim,vfe_dim,best_epoch,best_dev_f1,test_acc,test_f1,elapsed_sec,text_backbone,audio_backbone,video_backbone,text_cfg_only,audio_cfg_only,video_cfg_only,text_backbone_label,audio_backbone_label,video_backbone_label,model_label
variant1_TFE-E_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e16,variant1,TFE-E_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,16,1024,1024,2048,7,0.5421,0.5801,0.564,1017.2,TFE-E,AFE-B,VFE-A,cfg1,cfg1,cfg1,Electra-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-E_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e8,variant1,TFE-E_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,8,1024,1024,2048,5,0.5495,0.5981,0.5672,757.8,TFE-E,AFE-B,VFE-A,cfg1,cfg1,cfg1,Electra-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant2_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d1024_e16,variant2,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,1024,16,768,1024,2048,15,0.5149,0.5659,0.5386,2428.0,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
variant2_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d1024_e8,variant2,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,1024,8,768,1024,2048,8,0.5241,0.5471,0.536,1226.2,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
variant2_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e16,variant2,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,16,768,1024,2048,3,0.5428,0.6073,0.5706,468.5,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
variant2_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e8,variant2,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,8,768,1024,2048,8,0.5496,0.5812,0.5572,474.2,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
variant2_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e16,variant2,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,16,768,1024,2048,6,0.5507,0.5908,0.564,833.1,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
variant2_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e8,variant2,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,8,768,1024,2048,4,0.5383,0.6142,0.5682,520.9,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
variant2_TFE-A_cfg3_AFE-B_cfg3_VFE-A_cfg3_d1024_e16,variant2,TFE-A_cfg3,AFE-B_cfg3,VFE-A_cfg3,1024,16,768,1024,2048,14,0.5031,0.5444,0.5233,2257.0,TFE-A,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
variant2_TFE-A_cfg3_AFE-B_cfg3_VFE-A_cfg3_d1024_e8,variant2,TFE-A_cfg3,AFE-B_cfg3,VFE-A_cfg3,1024,8,768,1024,2048,16,0.5067,0.5307,0.5175,1757.5,TFE-A,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Base,WavLM-Large,ResNet50,Modality Specialists
